epoch,loss,val_loss
0,5.773313999176025,1.431908130645752
1,1.7039670944213867,1.0816298723220825
2,1.5783692598342896,1.1466585397720337
3,1.475226879119873,1.0265356302261353
4,1.395886778831482,0.8528679013252258
5,1.3196133375167847,1.1198009252548218
6,1.2630254030227661,1.3937073945999146
7,1.1877409219741821,0.8299486041069031
8,1.145133376121521,0.9565939903259277
9,1.1018455028533936,1.1589727401733398
10,1.0567193031311035,1.0210596323013306
11,1.0248183012008667,1.0495914220809937
12,0.9953998327255249,1.033318042755127
13,0.986455500125885,1.0131474733352661
14,0.9865708351135254,1.0497088432312012
15,0.9706449508666992,1.0065842866897583
16,0.9692800641059875,1.0105396509170532
17,0.9635900259017944,0.9649341106414795
